VesselName	ShipType	IMO	Built	DWT	Destination	ETA
YM MUTUALITY	CONTAINER SHIP	9455870	2010	0	PUSAN	06 April 2015 00:00
SWANSEA	CONTAINER SHIP	9205665	2000	24973	SINGAPORE	04 April 2015 21:00
CATALINA DUCHESS	CONTAINER SHIP	9302073	2006	69000	LONG BEACH	04 April 2015 18:00
AKINADA BRIDGE	CONTAINER SHIP	9224532	2001	71366	SINGAPORE	03 April 2015 22:00
OOCL ANTWERP	CONTAINER SHIP	9307011	2006	66500	LOS ANGELES	03 April 2015 22:00
BARMBEK	CONTAINER SHIP	9313228	2005	22000	BREMERHAVEN	03 April 2015 21:00
MSC FIAMMETTA	CONTAINER SHIP	9369758	2008	72900	FOS	03 April 2015 10:00
CONRAD S	CONTAINER SHIP	9327592	2006	13760	SAVANNAH	03 April 2015 08:30
BERNHARD SIBUM	CONTAINER SHIP	9347774	2006	11500	MARSAXLOKK	03 April 2015 07:00
FRANCOP	CONTAINER SHIP	9277412	2003	8900	SOUTHAMPTON	03 April 2015 03:00
MUNICH TRADER	CONTAINER SHIP	9147227	1999	12919	NAGOYA	02 April 2015 07:30
KOTA DUNIA	CONTAINER SHIP	9483475	0	0	KUANTAN NEW PORT	01 April 2015 15:00
HUMBER BRIDGE	CONTAINER SHIP	9302140	2006	99500	XIAMEN	30 March 2015 22:00
SEA LAND MERCURY	CONTAINER SHIP	9106194	1995	59840	KAO HSIUNG	30 March 2015 18:30
MOL ENDOWMENT	CONTAINER SHIP	9333852	2007	66800	LOS ANGELES	30 March 2015 11:30
EVER UNITY	CONTAINER SHIP	9169158	1999	63388	TOKYO	30 March 2015 08:30
NYK DENEB	CONTAINER SHIP	9337676	2008	67000	BALBOA	30 March 2015 07:00
APL YANGSHAN	CONTAINER SHIP	9462031	2011	0	KAO HSIUNG	30 March 2015 04:00
HYUNDAI NEW YORK	CONTAINER SHIP	9385025	2009	79000	SHANGHAI	29 March 2015 21:00
NEDLLOYD MAXIMA	CONTAINER SHIP	9283708	2004	33870	BELIZE CITY	29 March 2015 19:00
YM MILESTONE	CONTAINER SHIP	9484998	0	0	PUSAN	29 March 2015 06:00
GLEN CANYON BRIDGE	CONTAINER SHIP	9302097	2006	69000	SINGAPORE	27 March 2015 22:00
EVER ULYSSES	CONTAINER SHIP	9196955	2000	63216	TOKYO	27 March 2015 07:00
APL FINLAND	CONTAINER SHIP	9388352	2008	0	HONG KONG	26 March 2015 17:30
EVER SAFETY	CONTAINER SHIP	9300465	2007	78200	KAO HSIUNG	26 March 2015 11:00
HARMONY N	CONTAINER SHIP	9309411	2006	39421	TANGER	25 March 2015 21:00
CMA CGM CORAL	CONTAINER SHIP	9350393	2008	57900	NING BO	25 March 2015 12:00
VECHT TRADER	CONTAINER SHIP	9395068	2007	18480	PORT EVERGLADES	25 March 2015 10:00
OOCL ROTTERDAM	CONTAINER SHIP	9251999	2004	99518	TOKYO	25 March 2015 05:00
COSCO BEIJING	CONTAINER SHIP	9308508	2006	101000	PUSAN	25 March 2015 00:01
HYUNDAI BRAVE	CONTAINER SHIP	9346304	2008	101000	YOKOHAMA	23 March 2015 22:00
MSC BARCELONA	CONTAINER SHIP	9480186	2011	0	ANTWERP	23 March 2015 20:00
CORNELIA MAERSK	CONTAINER SHIP	9245756	2002	104750	SUEZ CANAL	23 March 2015 19:00
JPO GEMINI	CONTAINER SHIP	9294020	2005	33570	LUANDA	23 March 2015 14:00
MAERSK CERES	CONTAINER SHIP	9677026	0	0	CAPE TOWN	23 March 2015 11:00
OLUF MAERSK	CONTAINER SHIP	9251626	2003	31410	CRISTOBAL	23 March 2015 07:00
NYK ARGUS	CONTAINER SHIP	9262716	2004	78000	NAKHODKA	23 March 2015 03:00
MALLECO	CONTAINER SHIP	9395525	2009	0	ENSENADA	23 March 2015 02:00
MOL PREMIUM	CONTAINER SHIP	9444261	2008	72912	PUSAN	22 March 2015 15:00
MAERSK PENANG	CONTAINER SHIP	9168192	1998	38170	MONTREAL	22 March 2015 01:30
CMA CGM CENTAURUS	CONTAINER SHIP	9410777	2010	0	NAKHODKA	21 March 2015 20:00
MSC CORINNA	CONTAINER SHIP	8208684	1984	38466	SANTOS	21 March 2015 17:00
GOLDEN GATE BRIDGE	CONTAINER SHIP	9224506	2001	71376	SINGAPORE	21 March 2015 17:00
MONTREAL EXPRESS	CONTAINER SHIP	9253741	2003	59000	ANTWERP	21 March 2015 15:00
MILAN TRADER	CONTAINER SHIP	9239733	2002	33900	LIMON	21 March 2015 14:00
GUNDE MAERSK	CONTAINER SHIP	9359014	2009	100000	PUSAN	21 March 2015 09:00
CAP HAMILTON	CONTAINER SHIP	9439498	2009	59000	ALEXANDRIA	21 March 2015 06:00
MSC SHANNON	CONTAINER SHIP	8913423	1991	47120	GIOIA TAURO	21 March 2015 00:00
THUROE MAERSK	CONTAINER SHIP	8819976	1991	21825	TANGER	20 March 2015 22:00
EVER URANUS	CONTAINER SHIP	9168855	1999	63388	NAKHODKA	20 March 2015 19:00
OOCL CANADA	CONTAINER SHIP	9477880	2010	0	KAO HSIUNG	20 March 2015 15:00
MSC HEIDI	CONTAINER SHIP	9309473	2006	100000	KAO HSIUNG	20 March 2015 06:00
MARINA	CONTAINER SHIP	8906743	1992	47230	ALGECIRAS	20 March 2015 05:00
NYK FURANO	CONTAINER SHIP	9487952	2011	0	PORT SAID	19 March 2015 21:00
MAERSK MONTANA	CONTAINER SHIP	9305312	2006	59000	NEW YORK	19 March 2015 19:00
CSCL STAR	CONTAINER SHIP	9466867	2011	0	SUEZ CANAL	19 March 2015 17:00
DL OLIVE	CONTAINER SHIP	9657014	0	0	HUANGPU	19 March 2015 16:30
NYK VESTA	CONTAINER SHIP	9312808	2007	100900	PORT SAID	19 March 2015 15:00
MSC STELLA	CONTAINER SHIP	9279989	2004	85680	NEW YORK	19 March 2015 13:00
ZIM TEXAS	CONTAINER SHIP	9471238	2010	0	HALIFAX	19 March 2015 10:00
YM UNISON	CONTAINER SHIP	9302633	2006	99500	PORT SAID	19 March 2015 07:00
HORIZON SPIRIT	CONTAINER SHIP	7729459	1980	46154	HONOLULU	19 March 2015 06:00
SETTSU	CONTAINER SHIP	9151412	1997	17221	HONOLULU	19 March 2015 05:00
HS MOZART	CONTAINER SHIP	9252254	2002	61500	PUSAN	19 March 2015 04:00
MSC KRYSTAL	CONTAINER SHIP	9372470	2008	72900	RIO DE JANEIRO	18 March 2015 19:00
YM UTOPIA	CONTAINER SHIP	9337456	2008	99000	SUEZ CANAL	18 March 2015 17:30
HANJIN SANTOS	CONTAINER SHIP	9443023	2010	0	LAGOS	18 March 2015 16:00
HONG KONG EXPRESS	CONTAINER SHIP	9501356	2011	0	PORT SAID	18 March 2015 15:00
LISBON EXPRESS	CONTAINER SHIP	9108128	1995	33735	ALGECIRAS	18 March 2015 14:00
EEMSBORG	CONTAINER SHIP	9302449	2004	33900	WILMINGTON	18 March 2015 12:00
TIANJIN BRIDGE	CONTAINER SHIP	9282962	2004	67170	TOKYO	18 March 2015 12:00
ARTHUR MAERSK	CONTAINER SHIP	8915677	1992	50620	NEWARK	18 March 2015 08:00
ZIM QINGDAO	CONTAINER SHIP	9318163	2006	50000	VALENCIA	18 March 2015 05:00
COSCO JAPAN	CONTAINER SHIP	9448748	2009	0	TIANJIN	17 March 2015 21:00
EVER EAGLE	CONTAINER SHIP	9241310	2001	75000	KAO HSIUNG	17 March 2015 21:00
MAERSK KALMAR	CONTAINER SHIP	9153862	1998	82700	SUEZ CANAL	17 March 2015 19:00
MSC JULIA R.	CONTAINER SHIP	9227338	2002	52800	BOSTON	17 March 2015 17:00
CSCL VENUS	CONTAINER SHIP	9467251	2012	0	SUEZ CANAL	17 March 2015 16:00
HYUNDAI AMBITION	CONTAINER SHIP	9475703	2011	0	SUEZ CANAL	17 March 2015 16:00
THAILAND EXPRESS	CONTAINER SHIP	9367188	2007	66500	NEW YORK	17 March 2015 15:00
CORINA	CONTAINER SHIP	8908545	1990	7562	CARDIFF	17 March 2015 13:00
OOCL BEIJING	CONTAINER SHIP	9477878	2010	0	KAO HSIUNG	17 March 2015 13:00
HANJIN CONSTANTZA	CONTAINER SHIP	9443059	2010	0	LOS ANGELES	17 March 2015 13:00
CMA CGM LA SCALA	CONTAINER SHIP	9450612	2010	0	SEATTLE	17 March 2015 12:00
GERNER MAERSK	CONTAINER SHIP	9359002	2008	100000	LONG BEACH	17 March 2015 12:00
APL SOUTHAMPTON	CONTAINER SHIP	9462017	2011	0	KAO HSIUNG	17 March 2015 09:00
CMA CGM RIGOLETTO	CONTAINER SHIP	9299654	2006	101000	NAKHODKA	17 March 2015 08:00
COSCO EUROPE	CONTAINER SHIP	9345415	2008	118000	PUSAN	17 March 2015 08:00
MSC RAFAELA	CONTAINER SHIP	9129885	1996	51000	PIRAEUS	17 March 2015 07:00
OPDR TANGER	CONTAINER SHIP	9389306	2008	8400	LEIXOES	17 March 2015 07:00
BORUSSIA DORTMUND	CONTAINER SHIP	9162681	1998	7220	KOKKOLA	17 March 2015 04:00
INDEPENDENT PURSUIT	CONTAINER SHIP	9336189	2007	27200	CHESTER	17 March 2015 04:00
BOTSWANA	CONTAINER SHIP	9162497	1998	81819	LONG BEACH	17 March 2015 04:00
GISELE A	CONTAINER SHIP	9241918	2004	35600	DAKAR	17 March 2015 04:00
CPO ITALY	CONTAINER SHIP	9353137	2008	28500	NEW YORK	17 March 2015 02:00
MSC MARTA	CONTAINER SHIP	9295385	2005	72000	ASHDOD	17 March 2015 01:00
CMA CGM KINGFISH	CONTAINER SHIP	9516466	0	0	NEW YORK	17 March 2015 01:00
AUGUSTA KONTOR	CONTAINER SHIP	9287900	2004	67550	YOKOHAMA	16 March 2015 23:59
COSCO SINGAPORE	CONTAINER SHIP	9221102	2001	69285	NING BO	16 March 2015 21:00
MAERSK NEEDHAM	CONTAINER SHIP	9301938	2006	34000	LIMON	16 March 2015 21:00
RHL FIDUCIA	CONTAINER SHIP	9426817	2009	72000	BREMERHAVEN	16 March 2015 20:00
MSC ORIANE	CONTAINER SHIP	9372482	2008	72900	ANTWERP	16 March 2015 19:00
SUMMER E.	CONTAINER SHIP	9321902	2007	45000	TANGER	16 March 2015 19:00
TOVE MAERSK	CONTAINER SHIP	8819988	1992	21825	CONAKRY	16 March 2015 18:30
RIO TAKU	CONTAINER SHIP	9286774	2004	33870	KINGSTON	16 March 2015 18:00
MAERSK HARTFORD	CONTAINER SHIP	9333008	2007	76000	SUEZ CANAL	16 March 2015 17:00
HANJIN BUENOS AIRES	CONTAINER SHIP	9443011	2010	0	BRISBANE	16 March 2015 16:00
MAERSK SARNIA	CONTAINER SHIP	9289946	2005	97543	NEWARK	16 March 2015 14:00
CMA CGM AMERIGO VESP	CONTAINER SHIP	9454395	2010	0	MARSAXLOKK	16 March 2015 14:00
QUADRIGA	CONTAINER SHIP	9372872	2008	43400	TANGER	16 March 2015 13:00
APL LONDON	CONTAINER SHIP	9332846	2008	79000	HAIFA	16 March 2015 13:00
HORIZON CONSUMER	CONTAINER SHIP	7224306	1973	25651	HONOLULU	16 March 2015 12:00
MSC MARIA ELENA	CONTAINER SHIP	9304423	2006	108200	SUEZ CANAL	16 March 2015 11:00
EVER DEVOTE	CONTAINER SHIP	9134268	1998	55604	NEW YORK	16 March 2015 09:00
HANJINRIODEJANEIRO	CONTAINER SHIP	9375305	2008	0	BALBOA	16 March 2015 09:00
COSCO PACIFIC	CONTAINER SHIP	9355551	2008	115000	TIANJIN	16 March 2015 09:00
HYUNDAI LONG BEACH	CONTAINER SHIP	9332884	2009	79000	OAKLAND	16 March 2015 07:00
FREDERIK	CONTAINER SHIP	9328637	2005	18400	BREMERHAVEN	16 March 2015 06:00
MSC ELA	CONTAINER SHIP	9282259	2004	55000	BALBOA	16 March 2015 06:00
CMA CGM MANET	CONTAINER SHIP	9224958	2001	30442	LISBOA	16 March 2015 06:00
MOL BREEZE	CONTAINER SHIP	9460356	2010	0	ROTTERDAM	16 March 2015 04:00
MSC LISBON	CONTAINER SHIP	9304459	2007	108200	NEW YORK	16 March 2015 04:00
MAERSK BATUR	CONTAINER SHIP	9402029	2009	0	PANAMA CANAL	16 March 2015 02:00
MUKADDES KALKAVAN	CONTAINER SHIP	9365829	2008	0	MERSIN	15 March 2015 18:00
SVENDBORG STRAIT	CONTAINER SHIP	9454230	2010	13760	CASABLANCA	15 March 2015 18:00
OSAKA EXPRESS	CONTAINER SHIP	9320697	2007	83700	NEW YORK	15 March 2015 17:00
LUCIEN G.A	CONTAINER SHIP	9242297	2002	17254	CASABLANCA	15 March 2015 16:00
MADELEINE	CONTAINER SHIP	9196943	2000	5537	CRISTOBAL	15 March 2015 14:00
MSC NERISSA	CONTAINER SHIP	9278155	2004	55000	BALBOA	15 March 2015 14:00
CAP HARVEY	CONTAINER SHIP	9440801	2009	59000	ALGECIRAS	15 March 2015 13:00
VIONA	CONTAINER SHIP	9333369	2006	22300	ST PETERSBURG	15 March 2015 12:00
MOL QUEST	CONTAINER SHIP	9631967	0	0	ROTTERDAM	15 March 2015 12:00
COSCO NAGOYA	CONTAINER SHIP	9380271	2008	0	NEW YORK	15 March 2015 12:00
ANL KARDINIA	CONTAINER SHIP	9314923	2005	39000	SINGAPORE	15 March 2015 11:00
MAERSK PEMBROKE	CONTAINER SHIP	9168180	1998	38170	MONTREAL	15 March 2015 10:30
ANL ECHUCA	CONTAINER SHIP	9155391	2003	23579	AUCKLAND	15 March 2015 07:00
RIO CARDIFF	CONTAINER SHIP	9456953	2009	53685	MARSAXLOKK	15 March 2015 06:30
LOUISE BORCHARD	CONTAINER SHIP	9336294	2006	8330	RAVENNA	15 March 2015 05:00
RIO BRAVO	CONTAINER SHIP	9348091	2009	64730	TANGER	15 March 2015 05:00
MAERSK MISSOURI	CONTAINER SHIP	9155121	1998	62226	HOUSTON	15 March 2015 02:30
CIELO DI NEW YORK	CONTAINER SHIP	9669665	0	0	LE HAVRE	15 March 2015 02:00
MANOA	CONTAINER SHIP	7907984	1982	30825	HONOLULU	15 March 2015 02:00
BORKUM TRADER	CONTAINER SHIP	9138276	1998	33976	TANGER	15 March 2015 01:00
EVER DIVINE	CONTAINER SHIP	9134282	1998	54500	MELBOURNE	15 March 2015 00:30
MAERSK BOGOR	CONTAINER SHIP	9394882	2009	0	MARSAXLOKK	15 March 2015 00:01
PERSEUS J	CONTAINER SHIP	9371414	2008	13400	HAMBURG	14 March 2015 22:00
HOOGE	CONTAINER SHIP	9301122	2006	13000	HAMBURG	14 March 2015 22:00
EVER STEADY	CONTAINER SHIP	9300439	2006	78200	OAKLAND	14 March 2015 21:00
UASC JUBAIL	CONTAINER SHIP	9401063	2009	50632	ADELAIDE	14 March 2015 20:00
MOL DIAMOND	CONTAINER SHIP	9464704	2010	50500	BRISBANE	14 March 2015 19:00
BG IRELAND	CONTAINER SHIP	9355446	2007	10500	ROTTERDAM	14 March 2015 19:00
MAERSK EDMONTON	CONTAINER SHIP	9458030	2011	0	SUEZ CANAL	14 March 2015 18:30
MAERSK FUNCHAL	CONTAINER SHIP	9297606	2004	11200	ALGER	14 March 2015 18:00
MSC NINGBO	CONTAINER SHIP	9285677	2004	93572	FELIXSTOWE	14 March 2015 18:00
MSC FLAVIA	CONTAINER SHIP	9467433	2011	0	LOS ANGELES	14 March 2015 18:00
JANA	CONTAINER SHIP	9395551	2009	10500	BELFAST	14 March 2015 17:00
PUELO	CONTAINER SHIP	9306172	2006	80250	SUEZ CANAL	14 March 2015 17:00
NYK APOLLO	CONTAINER SHIP	9247730	2002	78000	OAKLAND	14 March 2015 17:00
CMA CGM VON HUMBOLDT	CONTAINER SHIP	9454448	2010	0	SUEZ CANAL	14 March 2015 16:00
DOROTHEA SCHULTE	CONTAINER SHIP	9618862	0	0	TARRAGONA	14 March 2015 16:00
MAERSK NIMES	CONTAINER SHIP	9434931	2008	0	ST PETERSBURG	14 March 2015 12:00
MSC BEIJING	CONTAINER SHIP	9289099	2005	102000	GIOIA TAURO	14 March 2015 11:00
XIN DAN DONG	CONTAINER SHIP	9312597	2006	52000	BRISBANE	14 March 2015 10:30
HANSA OLDENBURG	CONTAINER SHIP	9236224	2002	23580	MERSIN	14 March 2015 08:00
MAERSK PALERMO	CONTAINER SHIP	9168207	1998	37842	HALIFAX	14 March 2015 07:00
EVER EXCEL	CONTAINER SHIP	9241322	2002	75000	OSAKA	14 March 2015 07:00
BALTHASAR SCHULTE	CONTAINER SHIP	9477610	2011	0	ALEXANDRIA	14 March 2015 06:00
LICA MAERSK	CONTAINER SHIP	9190779	2001	63200	BRISBANE	14 March 2015 06:00
AL RAWDAH	CONTAINER SHIP	9349564	2008	77000	PORT SAID	14 March 2015 06:00
PRAIA	CONTAINER SHIP	9419773	2009	41500	DAKAR	14 March 2015 06:00
EVOLUTION	CONTAINER SHIP	9136228	1996	13300	HAMBURG	14 March 2015 06:00
ZIM ANTWERP	CONTAINER SHIP	9398448	2009	113900	PUSAN	14 March 2015 05:00
MAERSK CHICAGO	CONTAINER SHIP	9332975	2007	80000	NORFOLK	14 March 2015 04:00
ALEXANDER B	CONTAINER SHIP	9328649	2006	18450	HELSINKI	14 March 2015 04:00
GRETE SIBUM	CONTAINER SHIP	9398773	2008	0	RIGA	14 March 2015 03:40
AS CYPRIA	CONTAINER SHIP	9315812	2006	39421	TANGER	14 March 2015 03:00
NAVI BALTIC	CONTAINER SHIP	9386718	2009	16950	ST PETERSBURG	14 March 2015 03:00
MSC EYRA	CONTAINER SHIP	8201648	1982	21370	ST PETERSBURG	14 March 2015 03:00
MAERSK NIJMEGEN	CONTAINER SHIP	9434929	2009	0	BREMERHAVEN	14 March 2015 02:30
JPO ARIES	CONTAINER SHIP	9220328	2001	33900	CONAKRY	14 March 2015 02:00
JRS CANIS	CONTAINER SHIP	9339014	2006	8400	SHANGHAI	14 March 2015 02:00
MSC GINA	CONTAINER SHIP	9202663	1999	51000	SINES	14 March 2015 02:00
LIONS GATE BRIDGE	CONTAINER SHIP	9224518	2001	71395	TOKYO	14 March 2015 01:00
THOMAS MAERSK	CONTAINER SHIP	9064267	1994	25368	ALGECIRAS	14 March 2015 00:30
PUSAN	CONTAINER SHIP	9280861	2004	54760	ADELAIDE	14 March 2015 00:30
MSC TOKYO	CONTAINER SHIP	9295361	2005	72000	PIRAEUS	13 March 2015 22:00
HELUAN	CONTAINER SHIP	9358905	2007	0	KIEL	13 March 2015 22:00
AS CASTOR	CONTAINER SHIP	9127526	1997	18445	CONAKRY	13 March 2015 21:00
CONESTE	CONTAINER SHIP	9252802	2003	11200	MARSEILLE	13 March 2015 21:00
MSC BANU	CONTAINER SHIP	9263332	2004	41500	LAS PALMAS	13 March 2015 19:30
KAETHE C RICKMERS	CONTAINER SHIP	9287912	2005	67550	SUEZ CANAL	13 March 2015 19:00
SOFRANA SURVILLE	CONTAINER SHIP	9295529	2007	11000	NOUMEA	13 March 2015 19:00
KING JACOB	CONTAINER SHIP	9147215	1998	12919	GIOIA TAURO	13 March 2015 19:00
THETIS D	CONTAINER SHIP	9372274	2009	16950	GDYNIA	13 March 2015 18:00
XIN LIAN YUN GANG	CONTAINER SHIP	9234355	2003	69000	SUEZ CANAL	13 March 2015 17:50
KARINA	CONTAINER SHIP	9519808	0	0	GHENT (GENT)	13 March 2015 17:00
NYK APHRODITE	CONTAINER SHIP	9247754	2003	78000	LOS ANGELES	13 March 2015 17:00
CAP PASADO	CONTAINER SHIP	9311799	2006	37800	AUCKLAND	13 March 2015 16:30
YM UTMOST	CONTAINER SHIP	9302621	2006	99500	SUEZ CANAL	13 March 2015 16:00
LIMARI	CONTAINER SHIP	9290816	2005	51870	CHARLESTON	13 March 2015 16:00
HANJIN GREEN EARTH	CONTAINER SHIP	9503732	2012	0	SUEZ CANAL	13 March 2015 15:00
VIOLET	CONTAINER SHIP	9314935	2006	39000	TANGER	13 March 2015 15:00
HAMMONIA JUTLANDIA	CONTAINER SHIP	9358436	2006	44174	ALGECIRAS	13 March 2015 14:00
MSC ANTONIA	CONTAINER SHIP	8408832	1985	33863	GIOIA TAURO	13 March 2015 14:00
ALSTERDIJK	CONTAINER SHIP	9491484	2010	0	ARHUS	13 March 2015 14:00
OOCL ST PETERSBURG	CONTAINER SHIP	9315006	2005	10950	ANTWERP	13 March 2015 14:00
NEUENFELDE	CONTAINER SHIP	9231846	2001	11386	BREMERHAVEN	13 March 2015 13:00
SEA LAND RACER	CONTAINER SHIP	9116890	1996	59964	VALENCIA	13 March 2015 13:00
MSC LISA	CONTAINER SHIP	9281279	2004	55000	LONG BEACH	13 March 2015 13:00
HERMES SLB	CONTAINER SHIP	9504047	2009	0	ANTWERP	13 March 2015 13:00
OOCL MONTREAL	CONTAINER SHIP	9253739	2003	47828	ANTWERP	13 March 2015 13:00
COSCO HELLAS	CONTAINER SHIP	9308510	2006	101000	HAMBURG	13 March 2015 12:45
MSC KOREA	CONTAINER SHIP	9123154	1996	42938	PIRAEUS	13 March 2015 12:00
SUSAN BORCHARD	CONTAINER SHIP	9436197	2008	9300	BARCELONA	13 March 2015 12:00
MSC REGINA	CONTAINER SHIP	9202651	1999	56890	VALENCIA	13 March 2015 12:00
ANNE BORCHARD	CONTAINER SHIP	9365996	2008	0	BILBAO	13 March 2015 12:00
EDITH MAERSK	CONTAINER SHIP	9321548	2007	105750	ANTWERP	13 March 2015 12:00
COSCO NINGBO	CONTAINER SHIP	9305582	2006	101000	LE HAVRE	13 March 2015 11:00
HANJIN GERMANY	CONTAINER SHIP	9484924	2011	0	LONG BEACH	13 March 2015 11:00
RIO GRANDEEXPRESS	CONTAINER SHIP	9301823	2006	50500	GENOVA	13 March 2015 11:00
FRISIA BONN	CONTAINER SHIP	9470961	2009	0	ANTWERP	13 March 2015 10:00
