STATE	COUNTY	FIPS	TP-TotPop	DO-TOTAL	IN-WFrTo	IR-WFrTo
AL	Autauga County	01001	54.571	3.54	41.03	2.94
AL	Baldwin County	01003	182.265	13.66	0.00	38.96
AL	Barbour County	01005	27.457	2.05	1.58	2.17
AL	Bibb County	01007	22.915	1.84	0.00	0.69
AL	Blount County	01009	57.322	3.87	0.00	0.48
AL	Bullock County	01011	10.914	1.20	0.00	0.61
AL	Butler County	01013	20.947	1.62	0.30	0.34
AL	Calhoun County	01015	118.572	9.91	0.97	4.09
AL	Chambers County	01017	34.215	2.82	0.00	0.20
AL	Cherokee County	01019	25.989	1.67	0.00	1.24
AL	Chilton County	01021	43.643	3.48	0.35	1.15
AL	Choctaw County	01023	13.859	1.00	40.76	0.03
AL	Clarke County	01025	25.833	1.42	20.22	0.07
AL	Clay County	01027	13.932	0.97	0.00	0.06
AL	Cleburne County	01029	14.972	1.37	0.00	0.16
AL	Coffee County	01031	49.948	4.29	1.13	3.67
AL	Colbert County	01033	54.428	3.54	69.75	2.19
AL	Conecuh County	01035	13.228	0.80	0.00	0.09
AL	Coosa County	01037	11.539	1.01	0.00	0.03
AL	Covington County	01039	37.765	2.45	0.05	1.96
AL	Crenshaw County	01041	13.906	0.88	0.00	0.25
AL	Cullman County	01043	80.406	6.36	2.26	2.25
AL	Dale County	01045	50.251	3.79	0.00	2.16
AL	Dallas County	01047	43.820	3.62	32.33	2.42
AL	De Kalb County	01049	71.109	4.61	0.77	0.58
AL	Elmore County	01051	79.303	5.53	0.00	1.56
AL	Escambia County	01053	38.319	3.41	35.13	3.02
AL	Etowah County	01055	104.430	8.42	9.21	0.67
AL	Fayette County	01057	17.241	1.27	1.10	0.17
AL	Franklin County	01059	31.704	2.35	0.00	0.15
AL	Geneva County	01061	26.790	1.81	0.00	3.66
AL	Greene County	01063	9.045	1.17	0.03	0.12
AL	Hale County	01065	15.760	1.08	0.02	0.09
AL	Henry County	01067	17.302	1.35	0.54	3.60
AL	Houston County	01069	101.547	7.05	0.17	10.07
AL	Jackson County	01071	53.227	3.42	8.91	1.14
AL	Jefferson County	01073	658.466	56.74	0.50	2.48
AL	Lamar County	01075	14.564	0.76	0.11	0.09
AL	Lauderdale County	01077	92.709	7.30	0.00	3.78
AL	Lawrence County	01079	34.339	3.64	60.11	3.87
AL	Lee County	01081	140.247	12.83	0.00	1.07
AL	Limestone County	01083	82.782	5.10	0.00	7.60
AL	Lowndes County	01085	11.299	0.95	0.00	2.20
AL	Macon County	01087	21.452	1.49	0.00	2.15
AL	Madison County	01089	334.811	30.01	0.79	8.41
AL	Marengo County	01091	21.027	1.29	18.72	0.15
AL	Marion County	01093	30.776	2.37	0.00	0.17
